"Geography code","LA code","LA name","Region code","Region name","Net Total Expenditure (x1000)","Gross Total Expenditure (x1000)","Gross Current Expenditure (x1000)","Support provided to carers during the year","Social care-related quality of life score (All)","Social care-related quality of life score (Male)","Social care-related quality of life score (Female)","age_group","Number of requests for support received from new clients","New clients with an episode of ST-Max care and a known sequel","Long Term Support during the year","Social care-related quality of life score"
"E06000018",512,"Nottingham","E12000004","East Midlands",111901,130454,130253,2455,18.9,19.1,18.7,"65 and over",6870,885.0,3620.0,18.9
"E10000015",606,"Hertfordshire","E12000006","East of England",355363,409869,408154,4535,19.4,20.1,18.9,"18 to 64",6055,210.0,5165.0,20.3
"E10000015",606,"Hertfordshire","E12000006","East of England",355363,409869,408154,4535,19.4,20.1,18.9,"65 and over",20335,2920.0,9390.0,18.7
"E10000020",607,"Norfolk","E12000006","East of England",312903,372550,354342,4075,18.9,19.1,18.8,"18 to 64",9770,350.0,5270.0,19.1
"E10000020",607,"Norfolk","E12000006","East of England",312903,372550,354342,4075,18.9,19.1,18.8,"65 and over",28485,5810.0,9425.0,18.8
"E10000025",608,"Oxfordshire","E12000008","South East",191539,225812,225812,4105,19.2,19.5,19.0,"18 to 64",2635,200.0,2655.0,19.9
"E10000025",608,"Oxfordshire","E12000008","South East",191539,225812,225812,4105,19.2,19.5,19.0,"65 and over",11480,2285.0,5190.0,18.8
"E10000029",609,"Suffolk","E12000006","East of England",244272,280623,279023,2545,19.4,19.6,19.4,"18 to 64",11460,860.0,3795.0,19.7
"E10000029",609,"Suffolk","E12000006","East of England",244272,280623,279023,2545,19.4,19.6,19.4,"65 and over",28450,3370.0,8670.0,19.3
"E06000032",611,"Luton","E12000006","East of England",60815,69402,69152,1070,19.0,19.3,18.7,"18 to 64",1345,60.0,1320.0,19.3
"E06000032",611,"Luton","E12000006","East of England",60815,69402,69152,1070,19.0,19.3,18.7,"65 and over",3185,620.0,2095.0,18.8
"E10000002",612,"Buckinghamshire","E12000008","South East",145201,169377,167558,925,19.0,19.5,18.6,"18 to 64",2300,35.0,2290.0,20.1
"E10000002",612,"Buckinghamshire","E12000008","South East",145201,169377,167558,925,19.0,19.5,18.6,"65 and over",8380,460.0,3750.0,18.2
"E06000042",613,"Milton Keynes","E12000008","South East",63951,72530,72354,3945,18.6,19.1,18.3,"18 to 64",1860,85.0,955.0,20.0
"E06000042",613,"Milton Keynes","E12000008","South East",63951,72530,72354,3945,18.6,19.1,18.3,"65 and over",3895,660.0,1530.0,17.5
"E06000036",614,"Bracknell Forest","E12000008","South East",32234,36974,36361,300,19.1,19.4,18.8,"18 to 64",375,55.0,480.0,19.2
"E06000036",614,"Bracknell Forest","E12000008","South East",32234,36974,36361,300,19.1,19.4,18.8,"65 and over",1760,380.0,760.0,19.0
"E06000037",615,"West Berkshire","E12000008","South East",49198,59369,59176,1140,19.3,19.3,19.3,"18 to 64",1065,45.0,740.0,19.7
"E06000037",615,"West Berkshire","E12000008","South East",49198,59369,59176,1140,19.3,19.3,19.3,"65 and over",2965,585.0,1375.0,19.0
"E06000038",616,"Reading","E12000008","South East",43875,50886,50374,635,18.9,19.7,18.3,"18 to 64",1210,80.0,860.0,19.4
"E06000038",616,"Reading","E12000008","South East",43875,50886,50374,635,18.9,19.7,18.3,"65 and over",2420,505.0,1165.0,18.5
"E06000039",617,"Slough","E12000008","South East",39060,42176,39695,655,19.0,19.7,18.4,"18 to 64",670,125.0,690.0,19.4
"E06000039",617,"Slough","E12000008","South East",39060,42176,39695,655,19.0,19.7,18.4,"65 and over",1565,620.0,915.0,18.5
"E06000040",618,"Windsor and Maidenhead","E12000008","South East",39412,46424,45927,630,18.9,18.9,19.0,"18 to 64",595,30.0,580.0,19.2
"E06000040",618,"Windsor and Maidenhead","E12000008","South East",39412,46424,45927,630,18.9,18.9,19.0,"65 and over",2905,385.0,1140.0,18.8
"E06000041",619,"Wokingham","E12000008","South East",47398,53292,53261,565,19.1,19.3,18.9,"18 to 64",1105,20.0,795.0,19.2
"E06000041",619,"Wokingham","E12000008","South East",47398,53292,53261,565,19.1,19.3,18.9,"65 and over",3235,285.0,1060.0,18.9
"E10000012",620,"Essex","E12000006","East of England",466907,552955,549197,4050,19.3,20.3,18.7,"18 to 64",9425,2880.0,7575.0,19.8
"E10000012",620,"Essex","E12000006","East of England",466907,552955,549197,4050,19.3,20.3,18.7,"65 and over",24165,5790.0,14195.0,19.0
"E06000033",621,"Southend-on-Sea","E12000006","East of England",41952,52799,52463,1205,19.3,19.8,19.0,"18 to 64",2920,585.0,1700.0,20.0
"E06000033",621,"Southend-on-Sea","E12000006","East of England",41952,52799,52463,1205,19.3,19.8,19.0,"65 and over",5990,1295.0,2370.0,19.0
"E06000034",622,"Thurrock","E12000006","East of England",37143,44697,44643,605,19.2,19.3,19.1,"18 to 64",1785,30.0,705.0,19.6
"E06000034",622,"Thurrock","E12000006","East of England",37143,44697,44643,605,19.2,19.3,19.1,"65 and over",4180,225.0,1545.0,19.0
"E10000003",623,"Cambridgeshire","E12000006","East of England",160166,182261,182261,2935,19.7,20.2,19.3,"18 to 64",3145,135.0,2550.0,20.1
"E10000003",623,"Cambridgeshire","E12000006","East of England",160166,182261,182261,2935,19.7,20.2,19.3,"65 and over",13030,2485.0,4900.0,19.4
"E06000031",624,"Peterborough","E12000006","East of England",44805,50670,49993,1185,19.4,19.0,19.7,"18 to 64",935,65.0,1025.0,19.9
"E06000031",624,"Peterborough","E12000006","East of England",44805,50670,49993,1185,19.4,19.0,19.7,"65 and over",2545,605.0,1900.0,19.1
"E06000055",625,"Bedford","E12000006","East of England",57577,67287,67287,370,19.0,19.2,18.9,"18 to 64",470,30.0,1305.0,19.0
"E06000055",625,"Bedford","E12000006","East of England",57577,67287,67287,370,19.0,19.2,18.9,"65 and over",1295,300.0,2390.0,19.0
"E06000056",626,"Central Bedfordshire","E12000006","East of England",89649,102769,101143,1625,19.2,19.4,19.0,"18 to 64",1375,25.0,1195.0,19.6
"E06000056",626,"Central Bedfordshire","E12000006","East of England",89649,102769,101143,1625,19.2,19.4,19.0,"65 and over",5370,365.0,2560.0,18.9
"E09000007",702,"Camden","E12000007","London",81127,90658,90658,1075,18.2,18.7,17.7,"18 to 64",740,125.0,1475.0,18.6
"E09000007",702,"Camden","E12000007","London",81127,90658,90658,1075,18.2,18.7,17.7,"65 and over",1630,660.0,1850.0,17.8
"E09000011",703,"Greenwich","E12000007","London",86342,96750,96157,585,18.4,18.6,18.3,"18 to 64",2455,85.0,2325.0,18.8
"E09000011",703,"Greenwich","E12000007","London",86342,96750,96157,585,18.4,18.6,18.3,"65 and over",3510,475.0,2625.0,18.1
"E09000012",704,"Hackney","E12000007","London",80300,86390,82618,1135,18.5,19.4,17.7,"18 to 64",4065,35.0,1210.0,19.8
"E09000012",704,"Hackney","E12000007","London",80300,86390,82618,1135,18.5,19.4,17.7,"65 and over",2910,270.0,2010.0,17.5
"E09000013",705,"Hammersmith and Fulham","E12000007","London",56458,61063,60128,665,17.9,18.0,17.8,"18 to 64",945,170.0,940.0,18.2
"E09000013",705,"Hammersmith and Fulham","E12000007","London",56458,61063,60128,665,17.9,18.0,17.8,"65 and over",2045,650.0,2065.0,17.7
"E09000019",706,"Islington","E12000007","London",80549,90094,89743,1060,18.7,19.4,18.2,"18 to 64",3330,65.0,1460.0,19.0
"E09000019",706,"Islington","E12000007","London",80549,90094,89743,1060,18.7,19.4,18.2,"65 and over",3820,405.0,2005.0,18.5
"E09000020",707,"Kensington and Chelsea","E12000007","London",49476,54924,54562,1080,17.9,18.2,17.6,"18 to 64",965,175.0,700.0,17.5
"E09000020",707,"Kensington and Chelsea","E12000007","London",49476,54924,54562,1080,17.9,18.2,17.6,"65 and over",2425,640.0,1375.0,18.1
"E09000022",708,"Lambeth","E12000007","London",98705,107148,107148,1035,18.3,18.7,18.0,"18 to 64",3255,110.0,1825.0,18.3
"E09000022",708,"Lambeth","E12000007","London",98705,107148,107148,1035,18.3,18.7,18.0,"65 and over",3865,460.0,2610.0,18.3
"E09000023",709,"Lewisham","E12000007","London",90721,104357,104225,605,18.8,19.0,18.7,"18 to 64",2695,270.0,1265.0,19.0
"E09000023",709,"Lewisham","E12000007","London",90721,104357,104225,605,18.8,19.0,18.7,"65 and over",4460,1140.0,2350.0,18.7
"E09000028",710,"Southwark","E12000007","London",86811,94831,93863,1490,16.7,16.6,16.9,"18 to 64",1455,170.0,1835.0,16.0
"E09000028",710,"Southwark","E12000007","London",86811,94831,93863,1490,16.7,16.6,16.9,"65 and over",2630,620.0,2480.0,17.5
"E09000030",711,"Tower Hamlets","E12000007","London",100925,107548,107522,1635,18.6,18.8,18.4,"18 to 64",1650,140.0,1640.0,19.0
"E09000030",711,"Tower Hamlets","E12000007","London",100925,107548,107522,1635,18.6,18.8,18.4,"65 and over",2310,370.0,2375.0,18.3
"E09000032",712,"Wandsworth","E12000007","London",88596,98339,98292,690,18.9,19.3,18.6,"18 to 64",860,45.0,1605.0,19.3
"E09000032",712,"Wandsworth","E12000007","London",88596,98339,98292,690,18.9,19.3,18.6,"65 and over",2370,425.0,2380.0,18.6
"E09000033",713,"Westminster","E12000007","London",74486,80921,80741,1120,18.2,18.8,17.8,"18 to 64",1435,280.0,1190.0,18.5
"E09000033",713,"Westminster","E12000007","London",74486,80921,80741,1120,18.2,18.8,17.8,"65 and over",2615,920.0,2040.0,18.0
"E09000001",714,"City of London","E12000007","London",6010,6195,6107,65,19.3,19.9,18.3,"18 to 64",45,5.0,60.0,19.5
"E09000001",714,"City of London","E12000007","London",6010,6195,6107,65,19.3,19.9,18.3,"65 and over",110,20.0,75.0,19.0
"E09000002",716,"Barking and Dagenham","E12000007","London",50444,58030,56991,1330,19.0,19.3,18.8,"18 to 64",6205,110.0,1105.0,19.3
"E09000002",716,"Barking and Dagenham","E12000007","London",50444,58030,56991,1330,19.0,19.3,18.8,"65 and over",6320,605.0,1785.0,18.8
"E09000003",717,"Barnet","E12000007","London",97560,110108,108577,1270,19.0,18.9,19.1,"18 to 64",2360,55.0,2035.0,19.0
"E09000003",717,"Barnet","E12000007","London",97560,110108,108577,1270,19.0,18.9,19.1,"65 and over",6260,715.0,4480.0,19.0
"E09000004",718,"Bexley","E12000007","London",59022,69887,68956,2730,19.1,19.5,18.8,"18 to 64",2565,80.0,1140.0,20.0
"E09000004",718,"Bexley","E12000007","London",59022,69887,68956,2730,19.1,19.5,18.8,"65 and over",5675,755.0,2145.0,18.5
"E09000005",719,"Brent","E12000007","London",77908,89771,89771,900,18.4,18.3,18.5,"18 to 64",1265,90.0,1515.0,19.3
"E09000005",719,"Brent","E12000007","London",77908,89771,89771,900,18.4,18.3,18.5,"65 and over",5295,790.0,3120.0,17.8
"E09000006",720,"Bromley","E12000007","London",75013,90751,90447,2060,18.8,18.9,18.8,"18 to 64",1470,410.0,1710.0,20.3
"E09000006",720,"Bromley","E12000007","London",75013,90751,90447,2060,18.8,18.9,18.8,"65 and over",5035,560.0,2655.0,17.9
"E09000008",721,"Croydon","E12000007","London",119227,135656,146429,1350,18.3,18.5,18.1,"18 to 64",2885,165.0,3245.0,19.4
"E09000008",721,"Croydon","E12000007","London",119227,135656,146429,1350,18.3,18.5,18.1,"65 and over",4460,1095.0,3905.0,17.7
"E09000009",722,"Ealing","E12000007","London",96364,112943,112464,1705,18.0,18.1,18.0,"18 to 64",885,80.0,1535.0,18.4
"E09000009",722,"Ealing","E12000007","London",96364,112943,112464,1705,18.0,18.1,18.0,"65 and over",3755,785.0,3000.0,17.8
"E09000010",723,"Enfield","E12000007","London",73151,92931,92877,2220,18.7,18.8,18.7,"18 to 64",770,65.0,1870.0,18.8
"E09000010",723,"Enfield","E12000007","London",73151,92931,92877,2220,18.7,18.8,18.7,"65 and over",2180,330.0,2755.0,18.6
"E09000014",724,"Haringey","E12000007","London",86228,95536,92900,990,17.9,19.6,16.8,"18 to 64",1050,160.0,1610.0,18.2
"E09000014",724,"Haringey","E12000007","London",86228,95536,92900,990,17.9,19.6,16.8,"65 and over",2600,870.0,2070.0,17.6
"E09000015",725,"Harrow","E12000007","London",72323,81031,80065,915,18.0,18.4,17.7,"18 to 64",3245,60.0,1720.0,18.2
"E09000015",725,"Harrow","E12000007","London",72323,81031,80065,915,18.0,18.4,17.7,"65 and over",4980,615.0,2350.0,17.8
"E09000016",726,"Havering","E12000007","London",63646,75274,75042,2245,18.8,19.3,18.5,"18 to 64",1160,75.0,985.0,19.7
"E09000016",726,"Havering","E12000007","London",63646,75274,75042,2245,18.8,19.3,18.5,"65 and over",5630,960.0,2590.0,18.4
"E09000017",727,"Hillingdon","E12000007","London",73171,83573,84331,760,19.2,19.7,18.8,"18 to 64",1720,75.0,1250.0,20.1
"E09000017",727,"Hillingdon","E12000007","London",73171,83573,84331,760,19.2,19.7,18.8,"65 and over",4900,640.0,2315.0,18.6
"E09000018",728,"Hounslow","E12000007","London",49072,58260,58260,1200,18.4,18.6,18.3,"18 to 64",1925,475.0,935.0,19.5
"E09000018",728,"Hounslow","E12000007","London",49072,58260,58260,1200,18.4,18.6,18.3,"65 and over",4845,2205.0,2015.0,17.8
"E09000021",729,"Kingston upon Thames","E12000007","London",53946,60899,60356,400,19.6,20.0,19.3,"18 to 64",845,50.0,630.0,20.1
"E09000021",729,"Kingston upon Thames","E12000007","London",53946,60899,60356,400,19.6,20.0,19.3,"65 and over",2820,700.0,1005.0,19.2
"E09000024",730,"Merton","E12000007","London",47787,55975,55817,1175,18.8,19.4,18.3,"18 to 64",465,55.0,755.0,19.7
"E09000024",730,"Merton","E12000007","London",47787,55975,55817,1175,18.8,19.4,18.3,"65 and over",1955,515.0,1405.0,18.1
"E09000025",731,"Newham","E12000007","London",81637,87445,86802,3440,18.0,18.0,18.0,"18 to 64",3860,95.0,2000.0,18.5
"E09000025",731,"Newham","E12000007","London",81637,87445,86802,3440,18.0,18.0,18.0,"65 and over",4050,190.0,2760.0,17.6
"E09000026",732,"Redbridge","E12000007","London",64801,79613,79345,5240,19.7,20.0,19.4,"18 to 64",3615,225.0,1620.0,20.5
"E09000026",732,"Redbridge","E12000007","London",64801,79613,79345,5240,19.7,20.0,19.4,"65 and over",13815,1305.0,3155.0,19.2
"E09000027",733,"Richmond upon Thames","E12000007","London",52333,65848,65848,550,20.0,20.1,20.0,"18 to 64",425,100.0,835.0,20.5
"E09000027",733,"Richmond upon Thames","E12000007","London",52333,65848,65848,550,20.0,20.1,20.0,"65 and over",3805,1480.0,1310.0,19.6
"E09000029",734,"Sutton","E12000007","London",51252,60162,60129,720,19.0,19.6,18.6,"18 to 64",815,75.0,850.0,19.5
"E09000029",734,"Sutton","E12000007","London",51252,60162,60129,720,19.0,19.6,18.6,"65 and over",2475,705.0,1320.0,18.6
"E09000031",735,"Waltham Forest","E12000007","London",73960,82519,82447,470,18.2,18.4,18.0,"18 to 64",2410,55.0,1855.0,18.5
"E09000031",735,"Waltham Forest","E12000007","London",73960,82519,82447,470,18.2,18.4,18.0,"65 and over",3590,490.0,2225.0,17.9
"E06000046",803,"Isle of Wight","E12000008","South East",58654,70119,69312,1010,19.4,19.3,19.4,"18 to 64",1700,25.0,915.0,19.6
"E06000046",803,"Isle of Wight","E12000008","South East",58654,70119,69312,1010,19.4,19.3,19.4,"65 and over",4525,625.0,1735.0,19.2
"E10000030",805,"Surrey","E12000008","South East",389462,446689,441282,4255,19.5,19.7,19.4,"18 to 64",6570,240.0,5295.0,19.7
"E10000030",805,"Surrey","E12000008","South East",389462,446689,441282,4255,19.5,19.7,19.4,"65 and over",22880,3845.0,9505.0,19.4
"E10000032",807,"West Sussex","E12000008","South East",213084,267175,267175,6955,19.3,19.6,19.2,"18 to 64",7990,45.0,3640.0,19.8
"E10000032",807,"West Sussex","E12000008","South East",213084,267175,267175,6955,19.3,19.6,19.2,"65 and over",18270,820.0,7255.0,19.0
"E10000009",809,"Dorset","E12000009","South West",143749,172170,170520,3905,19.4,19.8,19.1,"18 to 64",5305,75.0,1655.0,19.9
"E10000009",809,"Dorset","E12000009","South West",143749,172170,170520,3905,19.4,19.8,19.1,"65 and over",14670,1380.0,3875.0,19.2
"E06000028",810,"Bournemouth","E12000009","South West",54492,63500,62578,1520,19.3,19.3,19.3,"18 to 64",2215,280.0,880.0,19.8
"E06000028",810,"Bournemouth","E12000009","South West",54492,63500,62578,1520,19.3,19.3,19.3,"65 and over",4405,1100.0,1925.0,19.0
"E06000029",811,"Poole","E12000009","South West",40493,48444,47938,1305,19.2,19.2,19.2,"18 to 64",1070,5.0,615.0,20.2
"E06000029",811,"Poole","E12000009","South West",40493,48444,47938,1305,19.2,19.2,19.2,"65 and over",2990,195.0,1490.0,18.7
"E10000014",812,"Hampshire","E12000008","South East",379672,442880,426863,7950,19.5,19.3,19.6,"18 to 64",17650,195.0,6430.0,20.1
"E10000014",812,"Hampshire","E12000008","South East",379672,442880,426863,7950,19.5,19.3,19.6,"65 and over",60230,3275.0,10865.0,19.0
"E06000044",813,"Portsmouth","E12000008","South East",52895,65244,64241,1210,19.4,19.6,19.2,"18 to 64",1350,30.0,855.0,20.0
"E06000044",813,"Portsmouth","E12000008","South East",52895,65244,64241,1210,19.4,19.6,19.2,"65 and over",3375,300.0,2150.0,19.1
"E06000045",814,"Southampton","E12000008","South East",71119,84148,83936,2180,19.0,19.2,18.8,"18 to 64",4930,265.0,1225.0,19.1
"E06000045",814,"Southampton","E12000008","South East",71119,84148,83936,2180,19.0,19.2,18.8,"65 and over",4640,1680.0,2150.0,18.8
"E10000011",815,"East Sussex","E12000008","South East",207301,241815,239202,6895,19.7,20.2,19.5,"18 to 64",5785,110.0,3095.0,19.8
"E10000011",815,"East Sussex","E12000008","South East",207301,241815,239202,6895,19.7,20.2,19.5,"65 and over",22985,2015.0,6450.0,19.7
"E06000043",816,"Brighton and Hove","E12000008","South East",88643,106901,105939,1930,18.8,19.2,18.7,"18 to 64",1375,100.0,1660.0,18.7
"E06000043",816,"Brighton and Hove","E12000008","South East",88643,106901,105939,1930,18.8,19.2,18.7,"65 and over",3165,995.0,2625.0,19.0
"E06000054",817,"Wiltshire","E12000009","South West",167539,185598,185598,1135,19.5,20.2,19.0,"18 to 64",2185,45.0,2040.0,20.6
"E06000054",817,"Wiltshire","E12000009","South West",167539,185598,185598,1135,19.5,20.2,19.0,"65 and over",7175,995.0,3990.0,18.8
"E06000030",819,"Swindon","E12000009","South West",66228,75556,74910,1280,19.5,19.2,19.6,"18 to 64",1775,35.0,1090.0,20.0
"E06000030",819,"Swindon","E12000009","South West",66228,75556,74910,1280,19.5,19.2,19.6,"65 and over",5620,395.0,1655.0,19.0
"E10000016",820,"Kent","E12000008","South East",417824,489906,484740,2515,20.0,20.2,19.9,"18 to 64",13105,615.0,7625.0,20.6
"E10000016",820,"Kent","E12000008","South East",417824,489906,484740,2515,20.0,20.2,19.9,"65 and over",36640,7040.0,12570.0,19.3
"E06000035",821,"Medway","E12000008","South East",64628,77209,77186,2770,18.8,19.2,18.6,"18 to 64",2320,245.0,1445.0,19.6
"E06000035",821,"Medway","E12000008","South East",64628,77209,77186,2770,18.8,19.2,18.6,"65 and over",5330,1930.0,2230.0,18.3
"E06000052",902,"Cornwall","E12000009","South West",190560,213947,212775,2795,19.4,19.7,19.2,"18 to 64",3820,355.0,2740.0,19.7
"E06000052",902,"Cornwall","E12000009","South West",190560,213947,212775,2795,19.4,19.7,19.2,"65 and over",15420,2665.0,5910.0,19.2
"E10000013",904,"Gloucestershire","E12000009","South West",164639,192198,186662,5365,19.6,19.9,19.4,"18 to 64",5055,270.0,2290.0,20.7
"E10000013",904,"Gloucestershire","E12000009","South West",164639,192198,186662,5365,19.6,19.9,19.4,"65 and over",22275,1910.0,4325.0,18.8
"E10000027",905,"Somerset","E12000009","South West",146034,172839,172070,1315,19.3,19.5,19.1,"18 to 64",2370,80.0,2730.0,19.6
"E10000027",905,"Somerset","E12000009","South West",146034,172839,172070,1315,19.3,19.5,19.1,"65 and over",8100,1895.0,5300.0,19.0
"E06000053",906,"Isles of Scilly","E12000009","South West",1197,1513,1480,10,"","","","18 to 64",5,"","",""
"E06000053",906,"Isles of Scilly","E12000009","South West",1197,1513,1480,10,"","","","65 and over",40,10.0,30.0,""
"E06000022",908,"Bath and North East Somerset","E12000009","South West",69280,79105,77372,1515,19.7,19.6,19.8,"18 to 64",790,15.0,1010.0,19.6
"E06000022",908,"Bath and North East Somerset","E12000009","South West",69280,79105,77372,1515,19.7,19.6,19.8,"65 and over",2685,130.0,1585.0,19.8
"E06000023",909,"Bristol, City of","E12000009","South West",168747,194056,193537,2315,19.0,19.2,18.9,"18 to 64",5475,105.0,2575.0,18.9
"E06000023",909,"Bristol, City of","E12000009","South West",168747,194056,193537,2315,19.0,19.2,18.9,"65 and over",6100,860.0,4055.0,19.1
"E06000024",910,"North Somerset","E12000009","South West",69676,84703,83950,2135,19.4,19.0,19.9,"18 to 64",2240,75.0,1100.0,19.6
"E06000024",910,"North Somerset","E12000009","South West",69676,84703,83950,2135,19.4,19.0,19.9,"65 and over",8535,450.0,2330.0,19.2
"E06000025",911,"South Gloucestershire","E12000009","South West",92974,108531,108371,780,19.0,19.1,18.9,"18 to 64",1175,25.0,1630.0,19.5
"E06000025",911,"South Gloucestershire","E12000009","South West",92974,108531,108371,780,19.0,19.1,18.9,"65 and over",4795,380.0,2635.0,18.5
"E10000008",912,"Devon","E12000009","South West",257277,311018,302832,3425,19.1,19.0,19.2,"18 to 64",7495,125.0,4555.0,19.2
"E10000008",912,"Devon","E12000009","South West",257277,311018,302832,3425,19.1,19.0,19.2,"65 and over",26200,1180.0,8555.0,19.1
"E06000026",913,"Plymouth","E12000009","South West",79311,94484,94346,1830,19.1,19.3,19.0,"18 to 64",3345,160.0,1760.0,19.1
"E06000026",913,"Plymouth","E12000009","South West",79311,94484,94346,1830,19.1,19.3,19.0,"65 and over",8020,1285.0,3035.0,19.1
"E06000027",914,"Torbay","E12000009","South West",45753,56061,55025,1270,19.4,19.5,19.3,"18 to 64",1600,70.0,1155.0,19.4
"E06000027",914,"Torbay","E12000009","South West",45753,56061,55025,1270,19.4,19.5,19.3,"65 and over",4650,1380.0,1800.0,19.4
